property1,section,ticket,type,price,lat,lon
Kedleston Hall,Whole property,Adult,Standard,£13.60,52.9585,-1.53348
Kedleston Hall,Whole property,Child,Gift aid,£7.50,52.9585,-1.53348
Kedleston Hall,Whole property,Child,Standard,£6.80,52.9585,-1.53348
Kedleston Hall,Whole property,Family,Gift aid,£37.50,52.9585,-1.53348
Kedleston Hall,Whole property,Family,Standard,£34.00,52.9585,-1.53348
Kedleston Hall,Whole property,Group Adult,Gift aid,N/A,52.9585,-1.53348
Kedleston Hall,Whole property,Group Adult,Standard,£12.50,52.9585,-1.53348
Kedleston Hall,Whole property,Group Child,Gift aid,N/A,52.9585,-1.53348
Kedleston Hall,Whole property,Group Child,Standard,£6.25,52.9585,-1.53348
Kedleston Hall,Grounds,Adult,Gift aid,£7.50,52.9585,-1.53348
Kedleston Hall,Grounds,Adult,Standard,£6.80,52.9585,-1.53348
Kedleston Hall,Grounds,Child,Gift aid,£3.75,52.9585,-1.53348
Kedleston Hall,Grounds,Child,Standard,£3.40,52.9585,-1.53348
Kedleston Hall,Grounds,Family,Gift aid,£18.75,52.9585,-1.53348
Kedleston Hall,Grounds,Family,Standard,£17.00,52.9585,-1.53348
Kedleston Hall,Grounds,Group Adult,Gift aid,N/A,52.9585,-1.53348
Kedleston Hall,Grounds,Group Adult,Standard,£5.30,52.9585,-1.53348
Kedleston Hall,Grounds,Group Child,Gift aid,N/A,52.9585,-1.53348
Kedleston Hall,Grounds,Group Child,Standard,£2.65,52.9585,-1.53348
Springhill,Gardens & Grounds ,Adult,Gift aid,£4.00,54.685699,-6.65569
Springhill,Gardens & Grounds ,Adult,Standard,£3.63,54.685699,-6.65569
Springhill,Gardens & Grounds ,Child,Gift aid,£2.00,54.685699,-6.65569
Springhill,Gardens & Grounds ,Child,Standard,£1.81,54.685699,-6.65569
Springhill,Gardens & Grounds ,Family,Gift aid,£10.00,54.685699,-6.65569
Springhill,Gardens & Grounds ,Family,Standard,£9.09,54.685699,-6.65569
Fountains Abbey and Studley Royal Water Garden,Whole property,Adult,Gift aid,£16.50,54.1096,-1.58033
Fountains Abbey and Studley Royal Water Garden,Whole property,Adult,Standard,£15.00,54.1096,-1.58033
Fountains Abbey and Studley Royal Water Garden,Whole property,Child,Gift aid,£8.25,54.1096,-1.58033
Fountains Abbey and Studley Royal Water Garden,Whole property,Child,Standard,£7.50,54.1096,-1.58033
Fountains Abbey and Studley Royal Water Garden,Whole property,Family,Gift aid,£41.25,54.1096,-1.58033
Fountains Abbey and Studley Royal Water Garden,Whole property,Family,Standard,£37.50,54.1096,-1.58033
Fountains Abbey and Studley Royal Water Garden,Whole property,Group Adult,Gift aid,N/A,54.1096,-1.58033
Fountains Abbey and Studley Royal Water Garden,Whole property,Group Adult,Standard,£14.20,54.1096,-1.58033
Fountains Abbey and Studley Royal Water Garden,Whole property,Group Child,Gift aid,N/A,54.1096,-1.58033
Fountains Abbey and Studley Royal Water Garden,Whole property,Group Child,Standard,£7.10,54.1096,-1.58033
Knole,Gatehouse Tower,Adult,Gift aid,£3.50,51.267601,0.20122
Knole,Gatehouse Tower,Adult,Standard,£3.15,51.267601,0.20122
Knole,Gatehouse Tower,Child,Gift aid,£2.00,51.267601,0.20122
Knole,Gatehouse Tower,Child,Standard,£1.80,51.267601,0.20122
Knole,Gatehouse Tower,Family,Gift aid,£8.00,51.267601,0.20122
Knole,Gatehouse Tower,Family,Standard,£7.20,51.267601,0.20122
Knole,"Showrooms (includes garden on Tuesdays, Apr-Sept)",Adult,Gift aid,£9.00,51.267601,0.20122
Knole,"Showrooms (includes garden on Tuesdays, Apr-Sept)",Adult,Standard,£8.15,51.267601,0.20122
Knole,"Showrooms (includes garden on Tuesdays, Apr-Sept)",Child,Gift aid,£4.75,51.267601,0.20122
Knole,"Showrooms (includes garden on Tuesdays, Apr-Sept)",Child,Standard,£4.30,51.267601,0.20122
Knole,"Showrooms (includes garden on Tuesdays, Apr-Sept)",Family,Gift aid,£21.75,51.267601,0.20122
Knole,"Showrooms (includes garden on Tuesdays, Apr-Sept)",Family,Standard,£19.65,51.267601,0.20122
Knole,"Tower & Showrooms (garden on Tuesdays, Apr-Sept)",Adult,Gift aid,£12.50,51.267601,0.20122
Knole,"Tower & Showrooms (garden on Tuesdays, Apr-Sept)",Adult,Standard,£11.30,51.267601,0.20122
Knole,"Tower & Showrooms (garden on Tuesdays, Apr-Sept)",Child,Gift aid,£6.75,51.267601,0.20122
Knole,"Tower & Showrooms (garden on Tuesdays, Apr-Sept)",Child,Standard,£6.10,51.267601,0.20122
Knole,"Tower & Showrooms (garden on Tuesdays, Apr-Sept)",Family,Gift aid,£29.75,51.267601,0.20122
Knole,"Tower & Showrooms (garden on Tuesdays, Apr-Sept)",Family,Standard,£26.85,51.267601,0.20122
Dyffryn Gardens,Whole property,Adult,Gift aid,£11.00,51.437563,-3.304228
Dyffryn Gardens,Whole property,Adult,Standard,£9.90,51.437563,-3.304228
Dyffryn Gardens,Whole property,Child,Gift aid,£5.50,51.437563,-3.304228
Dyffryn Gardens,Whole property,Child,Standard,£4.95,51.437563,-3.304228
Dyffryn Gardens,Whole property,Family,Gift aid,£28.00,51.437563,-3.304228
Dyffryn Gardens,Whole property,Family,Standard,£25.00,51.437563,-3.304228
Dyffryn Gardens,Whole property,Group Adult,Gift aid,N/A,51.437563,-3.304228
Dyffryn Gardens,Whole property,Group Adult,Standard,£8.70,51.437563,-3.304228
Dyffryn Gardens,Whole property,Group Child,Gift aid,N/A,51.437563,-3.304228
Dyffryn Gardens,Whole property,Group Child,Standard,£4.35,51.437563,-3.304228
South Foreland Lighthouse,Lighthouse tours,Adult,Gift aid,N/A,51.1320901,1.3345979
South Foreland Lighthouse,Lighthouse tours,Adult,Standard,£6.00,51.1320901,1.3345979
South Foreland Lighthouse,Lighthouse tours,Child,Gift aid,N/A,51.1320901,1.3345979
South Foreland Lighthouse,Lighthouse tours,Child,Standard,£3.00,51.1320901,1.3345979
South Foreland Lighthouse,Lighthouse tours,Family,Gift aid,N/A,51.1320901,1.3345979
South Foreland Lighthouse,Lighthouse tours,Family,Standard,£15.00,51.1320901,1.3345979
South Foreland Lighthouse,Lighthouse tours,Group Adult,Gift aid,N/A,51.1320901,1.3345979
South Foreland Lighthouse,Lighthouse tours,Group Adult,Standard,£5.00,51.1320901,1.3345979
South Foreland Lighthouse,Lighthouse tours,Group Child,Gift aid,N/A,51.1320901,1.3345979
South Foreland Lighthouse,Lighthouse tours,Group Child,Standard,£2.50,51.1320901,1.3345979
Branscombe,Manor Mill,Adult,Gift aid,N/A,50.6922,-3.13646
Branscombe,Manor Mill,Adult,Standard,£3.50,50.6922,-3.13646
Branscombe,Manor Mill,Child,Gift aid,N/A,50.6922,-3.13646
Branscombe,Manor Mill,Child,Standard,£1.75,50.6922,-3.13646
Brownsea Island,Whole property,Adult,Gift aid,£8.00,50.6884,-1.95622
Brownsea Island,Whole property,Adult,Standard,£7.20,50.6884,-1.95622
Brownsea Island,Whole property,Child,Gift aid,£4.00,50.6884,-1.95622
Brownsea Island,Whole property,Child,Standard,£3.60,50.6884,-1.95622
Brownsea Island,Whole property,Family,Gift aid,£20.00,50.6884,-1.95622
Brownsea Island,Whole property,Family,Standard,£18.00,50.6884,-1.95622
Brownsea Island,Whole property,1 adult family ,Gift aid,£12.00,50.6884,-1.95622
Brownsea Island,Whole property,1 adult family ,Standard,£10.80,50.6884,-1.95622
Brownsea Island,Whole property,Group Adult,Gift aid,N/A,50.6884,-1.95622
Brownsea Island,Whole property,Group Adult,Standard,£6.40,50.6884,-1.95622
Brownsea Island,Whole property,Group Child,Gift aid,N/A,50.6884,-1.95622
Brownsea Island,Whole property,Group Child,Standard,£3.20,50.6884,-1.95622
Gibside,Estate,Adult,Gift aid,£12.40,54.920502,-1.73174
Gibside,Estate,Adult,Standard,£11.20,54.920502,-1.73174
Gibside,Estate,Child,Gift aid,£6.20,54.920502,-1.73174
Gibside,Estate,Child,Standard,£5.60,54.920502,-1.73174
Gibside,Estate,Family,Gift aid,£30.40,54.920502,-1.73174
Gibside,Estate,Family,Standard,£27.60,54.920502,-1.73174
Gibside,Estate,Additional Family - 1 adult,Gift aid,£18.30,54.920502,-1.73174
Gibside,Estate,Additional Family - 1 adult,Standard,£16.60,54.920502,-1.73174
Gibside,Estate,Group Adult,Gift aid,N/A,54.920502,-1.73174
Gibside,Estate,Group Adult,Standard,£8.50,54.920502,-1.73174
Gibside,Estate,Group Child,Gift aid,N/A,54.920502,-1.73174
Gibside,Estate,Group Child,Standard,£4.25,54.920502,-1.73174
Chirk Castle,Whole property,Adult,Gift aid,£14.00,52.935902,-3.08353
Chirk Castle,Whole property,Adult,Standard,£12.60,52.935902,-3.08353
Chirk Castle,Whole property,Child,Gift aid,£7.00,52.935902,-3.08353
Chirk Castle,Whole property,Child,Standard,£6.30,52.935902,-3.08353
Chirk Castle,Whole property,Family,Gift aid,£35.00,52.935902,-3.08353
Chirk Castle,Whole property,Family,Standard,£31.50,52.935902,-3.08353
Chirk Castle,Whole property,Group Adult,Gift aid,N/A,52.935902,-3.08353
Chirk Castle,Whole property,Group Adult,Standard,£10.70,52.935902,-3.08353
Chirk Castle,Whole property,Group Child,Gift aid,N/A,52.935902,-3.08353
Chirk Castle,Whole property,Group Child,Standard,£5.35,52.935902,-3.08353
Chirk Castle,Whole property: off-peak,Adult,Gift aid,£7.00,52.935902,-3.08353
Chirk Castle,Whole property: off-peak,Adult,Standard,£6.30,52.935902,-3.08353
Chirk Castle,Whole property: off-peak,Child,Gift aid,£3.50,52.935902,-3.08353
Chirk Castle,Whole property: off-peak,Child,Standard,£3.15,52.935902,-3.08353
Chirk Castle,Whole property: off-peak,Family,Gift aid,£17.50,52.935902,-3.08353
Chirk Castle,Whole property: off-peak,Family,Standard,£15.75,52.935902,-3.08353
Chirk Castle,Whole property: off-peak,Group Adult,Gift aid,N/A,52.935902,-3.08353
Chirk Castle,Whole property: off-peak,Group Adult,Standard,£5.35,52.935902,-3.08353
Chirk Castle,Whole property: off-peak,Group Child,Gift aid,N/A,52.935902,-3.08353
Chirk Castle,Whole property: off-peak,Group Child,Standard,£2.67,52.935902,-3.08353
Theatre Royal Bury St Edmunds,Guided Tours,Adult,Gift aid,N/A,52.24063,0.716911
Theatre Royal Bury St Edmunds,Guided Tours,Adult,Standard,£7.50,52.24063,0.716911
Claremont Landscape Garden,Whole property,Adult,Gift aid,£9.90,51.355785,-0.381433
Claremont Landscape Garden,Whole property,Adult,Standard,£9.00,51.355785,-0.381433
Claremont Landscape Garden,Whole property,Child,Gift aid,£4.95,51.355785,-0.381433
Claremont Landscape Garden,Whole property,Child,Standard,£4.50,51.355785,-0.381433
Claremont Landscape Garden,Whole property,Family,Gift aid,£24.75,51.355785,-0.381433
Claremont Landscape Garden,Whole property,Family,Standard,£22.50,51.355785,-0.381433
Claremont Landscape Garden,Whole property,Group Adult,Gift aid,N/A,51.355785,-0.381433
Claremont Landscape Garden,Whole property,Group Adult,Standard,£8.40,51.355785,-0.381433
Claremont Landscape Garden,Whole property,Group Child,Gift aid,N/A,51.355785,-0.381433
Claremont Landscape Garden,Whole property,Group Child,Standard,£4.20,51.355785,-0.381433
Max Gate,Whole property,Adult,Gift aid,£7.70,50.707901,-2.419803
Max Gate,Whole property,Adult,Standard,£7.00,50.707901,-2.419803
Max Gate,Whole property,Child,Gift aid,£3.90,50.707901,-2.419803
Max Gate,Whole property,Child,Standard,£3.50,50.707901,-2.419803
Max Gate,Whole property,Family,Gift aid,£19.30,50.707901,-2.419803
Max Gate,Whole property,Family,Standard,£17.50,50.707901,-2.419803
Max Gate,Whole property,Group Adult,Gift aid,N/A,50.707901,-2.419803
Max Gate,Whole property,Group Adult,Standard,£5.90,50.707901,-2.419803
Max Gate,Whole property,Group Child,Gift aid,N/A,50.707901,-2.419803
Max Gate,Whole property,Group Child,Standard,£3.00,50.707901,-2.419803
Newark Park,Whole property,Adult,Gift aid,£9.50,51.638802,-2.31369
Newark Park,Whole property,Adult,Standard,£8.60,51.638802,-2.31369
Newark Park,Whole property,Child,Gift aid,£4.80,51.638802,-2.31369
Newark Park,Whole property,Child,Standard,£4.30,51.638802,-2.31369
Newark Park,Whole property,Family,Gift aid,£23.80,51.638802,-2.31369
Newark Park,Whole property,Family,Standard,£21.50,51.638802,-2.31369
Newark Park,Whole property,Group Adult,Gift aid,N/A,51.638802,-2.31369
Newark Park,Whole property,Group Adult,Standard,£8.00,51.638802,-2.31369
Newark Park,Whole property,Group Child,Gift aid,N/A,51.638802,-2.31369
Newark Park,Whole property,Group Child,Standard,£4.00,51.638802,-2.31369
Newark Park,Gardens and estate,Adult,Gift aid,£6.90,51.638802,-2.31369
Newark Park,Gardens and estate,Adult,Standard,£6.20,51.638802,-2.31369
Newark Park,Gardens and estate,Child,Gift aid,£3.50,51.638802,-2.31369
Newark Park,Gardens and estate,Child,Standard,£3.10,51.638802,-2.31369
Newark Park,Gardens and estate,Family,Gift aid,£17.30,51.638802,-2.31369
Newark Park,Gardens and estate,Family,Standard,£15.50,51.638802,-2.31369
Newark Park,Gardens and estate,Group Adult,Gift aid,N/A,51.638802,-2.31369
Newark Park,Gardens and estate,Group Adult,Standard,£5.60,51.638802,-2.31369
Carrick-a-Rede,Whole property,Adult,Gift aid,N/A,55.236698,-6.3328
Carrick-a-Rede,Whole property,Adult,Standard,£8.00,55.236698,-6.3328
Carrick-a-Rede,Whole property,Child,Gift aid,N/A,55.236698,-6.3328
Carrick-a-Rede,Whole property,Child,Standard,£4.00,55.236698,-6.3328
Carrick-a-Rede,Whole property,Family,Gift aid,N/A,55.236698,-6.3328
Carrick-a-Rede,Whole property,Family,Standard,£20.00,55.236698,-6.3328
Carrick-a-Rede,Whole property,Group Adult,Gift aid,N/A,55.236698,-6.3328
Carrick-a-Rede,Whole property,Group Adult,Standard,£6.40,55.236698,-6.3328
Carrick-a-Rede,Whole property,Group Child,Gift aid,N/A,55.236698,-6.3328
Carrick-a-Rede,Whole property,Group Child,Standard,£3.40,55.236698,-6.3328
Sutton House and Breaker's Yard,Whole property,Adult,Gift aid,£7.00,51.548,-0.04921
Sutton House and Breaker's Yard,Whole property,Adult,Standard,£6.30,51.548,-0.04921
Sutton House and Breaker's Yard,Whole property,Child,Gift aid,£3.50,51.548,-0.04921
Sutton House and Breaker's Yard,Whole property,Child,Standard,£3.00,51.548,-0.04921
Sutton House and Breaker's Yard,Whole property,Family,Gift aid,£17.50,51.548,-0.04921
Sutton House and Breaker's Yard,Whole property,Family,Standard,£15.50,51.548,-0.04921
Sutton House and Breaker's Yard,Whole property,One adult two Children,Gift aid,£10.50,51.548,-0.04921
Sutton House and Breaker's Yard,Whole property,One adult two Children,Standard,£9.50,51.548,-0.04921
Sutton House and Breaker's Yard,Whole property,Group Adult,Gift aid,N/A,51.548,-0.04921
Sutton House and Breaker's Yard,Whole property,Group Adult,Standard,£5.40,51.548,-0.04921
Prior Park Landscape Garden,Whole Property,Adult,Gift aid,£8.20,51.367298,-2.34352
Prior Park Landscape Garden,Whole Property,Adult,Standard,£7.40,51.367298,-2.34352
Prior Park Landscape Garden,Whole Property,Child,Gift aid,£4.10,51.367298,-2.34352
Prior Park Landscape Garden,Whole Property,Child,Standard,£3.70,51.367298,-2.34352
Prior Park Landscape Garden,Whole Property,Family,Gift aid,£20.50,51.367298,-2.34352
Prior Park Landscape Garden,Whole Property,Family,Standard,£18.50,51.367298,-2.34352
Prior Park Landscape Garden,Whole Property,Group Adult,Gift aid,N/A,51.367298,-2.34352
Prior Park Landscape Garden,Whole Property,Group Adult,Standard,£6.90,51.367298,-2.34352
Bodnant Garden,Whole property,Adult,Gift aid,£14.60,53.236099,-3.79996
Bodnant Garden,Whole property,Adult,Standard,£13.20,53.236099,-3.79996
Bodnant Garden,Whole property,Child,Gift aid,£7.30,53.236099,-3.79996
Bodnant Garden,Whole property,Child,Standard,£6.60,53.236099,-3.79996
Bodnant Garden,Whole property,Group Adult,Gift aid,N/A,53.236099,-3.79996
Bodnant Garden,Whole property,Group Adult,Standard,£12.50,53.236099,-3.79996
Bodnant Garden,Whole property,Group Child,Gift aid,N/A,53.236099,-3.79996
Bodnant Garden,Whole property,Group Child,Standard,£6.60,53.236099,-3.79996
Bodnant Garden,Whole property,Adult,Gift aid,£14.60,53.236099,-3.79996
Bodnant Garden,Whole property,Adult,Standard,£13.20,53.236099,-3.79996
Bodnant Garden,Whole property,Child,Gift aid,£7.30,53.236099,-3.79996
Bodnant Garden,Whole property,Child,Standard,£6.60,53.236099,-3.79996
Bodnant Garden,Whole property,Group Adult,Gift aid,N/A,53.236099,-3.79996
Bodnant Garden,Whole property,Group Adult,Standard,£12.50,53.236099,-3.79996
Bodnant Garden,Whole property,Group Child,Gift aid,N/A,53.236099,-3.79996
Bodnant Garden,Whole property,Group Child,Standard,£6.60,53.236099,-3.79996
Claremont Landscape Garden,Whole property,Adult,Gift aid,£9.90,51.355785,-0.381433
Claremont Landscape Garden,Whole property,Adult,Standard,£9.00,51.355785,-0.381433
Claremont Landscape Garden,Whole property,Child,Gift aid,£4.95,51.355785,-0.381433
Claremont Landscape Garden,Whole property,Child,Standard,£4.50,51.355785,-0.381433
Claremont Landscape Garden,Whole property,Family,Gift aid,£24.75,51.355785,-0.381433
Claremont Landscape Garden,Whole property,Family,Standard,£22.50,51.355785,-0.381433
Claremont Landscape Garden,Whole property,Group Adult,Gift aid,N/A,51.355785,-0.381433
Claremont Landscape Garden,Whole property,Group Adult,Standard,£8.40,51.355785,-0.381433
Claremont Landscape Garden,Whole property,Group Child,Gift aid,N/A,51.355785,-0.381433
Claremont Landscape Garden,Whole property,Group Child,Standard,£4.20,51.355785,-0.381433
Cwmmau Farmhouse,Whole property,Adult,Gift aid,£6.00,52.153999,-3.05911
Cwmmau Farmhouse,Whole property,Adult,Standard,£5.40,52.153999,-3.05911
Cwmmau Farmhouse,Whole property,Child,Gift aid,£3.00,52.153999,-3.05911
Cwmmau Farmhouse,Whole property,Child,Standard,£2.70,52.153999,-3.05911
Cwmmau Farmhouse,Whole property,Family,Gift aid,£15.00,52.153999,-3.05911
Cwmmau Farmhouse,Whole property,Family,Standard,£13.50,52.153999,-3.05911
Cwmmau Farmhouse,Whole property,"1 adult, 2 children",Gift aid,£12.00,52.153999,-3.05911
Cwmmau Farmhouse,Whole property,"1 adult, 2 children",Standard,£10.80,52.153999,-3.05911
Montacute House,Whole property,Adult,Gift aid,£13.20,50.952499,-2.71065
Montacute House,Whole property,Adult,Standard,£12.00,50.952499,-2.71065
Montacute House,Whole property,Child,Gift aid,£6.60,50.952499,-2.71065
Montacute House,Whole property,Child,Standard,£6.00,50.952499,-2.71065
Montacute House,Whole property,Family,Gift aid,£33.00,50.952499,-2.71065
Montacute House,Whole property,Family,Standard,£30.00,50.952499,-2.71065
Montacute House,Whole property,1 Adult Family ,Gift aid,£19.80,50.952499,-2.71065
Montacute House,Whole property,1 Adult Family ,Standard,£18.00,50.952499,-2.71065
Montacute House,Whole property,Group Adult,Gift aid,N/A,50.952499,-2.71065
Montacute House,Whole property,Group Adult,Standard,£11.20,50.952499,-2.71065
Montacute House,Whole property,Group Child,Gift aid,N/A,50.952499,-2.71065
Montacute House,Whole property,Group Child,Standard,£5.60,50.952499,-2.71065
Polesden Lacey,House and Gardens,Adult,Gift aid,£15.00,51.261002,-0.36886
Polesden Lacey,House and Gardens,Adult,Standard,£13.60,51.261002,-0.36886
Polesden Lacey,House and Gardens,Child,Gift aid,£7.60,51.261002,-0.36886
Polesden Lacey,House and Gardens,Child,Standard,£6.80,51.261002,-0.36886
Polesden Lacey,House and Gardens,Family,Gift aid,£38.00,51.261002,-0.36886
Polesden Lacey,House and Gardens,Family,Standard,£34.50,51.261002,-0.36886
Polesden Lacey,House and Gardens,Group Adult,Gift aid,N/A,51.261002,-0.36886
Polesden Lacey,House and Gardens,Group Adult,Standard,£12.00,51.261002,-0.36886
Polesden Lacey,House and Gardens,Group Child,Gift aid,N/A,51.261002,-0.36886
Polesden Lacey,House and Gardens,Group Child,Standard,£6.00,51.261002,-0.36886
"Anglesey Abbey, Gardens and Lode Mill","Whole property (House, Garden & Mill)",Adult,Gift aid,£16.50,52.235915,0.2448
"Anglesey Abbey, Gardens and Lode Mill","Whole property (House, Garden & Mill)",Adult,Standard,£15.00,52.235915,0.2448
"Anglesey Abbey, Gardens and Lode Mill","Whole property (House, Garden & Mill)",Child,Gift aid,£8.60,52.235915,0.2448
"Anglesey Abbey, Gardens and Lode Mill","Whole property (House, Garden & Mill)",Child,Standard,£7.80,52.235915,0.2448
"Anglesey Abbey, Gardens and Lode Mill","Whole property (House, Garden & Mill)",Family,Gift aid,£43.45,52.235915,0.2448
"Anglesey Abbey, Gardens and Lode Mill","Whole property (House, Garden & Mill)",Family,Standard,£39.50,52.235915,0.2448
"Anglesey Abbey, Gardens and Lode Mill","Whole property (House, Garden & Mill)",1 adult and up to 3 children,Gift aid,£26.00,52.235915,0.2448
"Anglesey Abbey, Gardens and Lode Mill","Whole property (House, Garden & Mill)",1 adult and up to 3 children,Standard,£23.60,52.235915,0.2448
"Anglesey Abbey, Gardens and Lode Mill","Whole property (House, Garden & Mill)",Group Adult,Gift aid,N/A,52.235915,0.2448
"Anglesey Abbey, Gardens and Lode Mill","Whole property (House, Garden & Mill)",Group Adult,Standard,£13.40,52.235915,0.2448
"Anglesey Abbey, Gardens and Lode Mill","Whole property (House, Garden & Mill)",Group Child,Gift aid,N/A,52.235915,0.2448
"Anglesey Abbey, Gardens and Lode Mill","Whole property (House, Garden & Mill)",Group Child,Standard,£6.70,52.235915,0.2448
Knole,Gatehouse Tower,Adult,Gift aid,£3.50,51.267601,0.20122
Knole,Gatehouse Tower,Adult,Standard,£3.15,51.267601,0.20122
Knole,Gatehouse Tower,Child,Gift aid,£2.00,51.267601,0.20122
Knole,Gatehouse Tower,Child,Standard,£1.80,51.267601,0.20122
Knole,Gatehouse Tower,Family,Gift aid,£8.00,51.267601,0.20122
Knole,Gatehouse Tower,Family,Standard,£7.20,51.267601,0.20122
Knole,"Showrooms (includes garden on Tuesdays, Apr-Sept)",Adult,Gift aid,£9.00,51.267601,0.20122
Knole,"Showrooms (includes garden on Tuesdays, Apr-Sept)",Adult,Standard,£8.15,51.267601,0.20122
Knole,"Showrooms (includes garden on Tuesdays, Apr-Sept)",Child,Gift aid,£4.75,51.267601,0.20122
Knole,"Showrooms (includes garden on Tuesdays, Apr-Sept)",Child,Standard,£4.30,51.267601,0.20122
Knole,"Showrooms (includes garden on Tuesdays, Apr-Sept)",Family,Gift aid,£21.75,51.267601,0.20122
Knole,"Showrooms (includes garden on Tuesdays, Apr-Sept)",Family,Standard,£19.65,51.267601,0.20122
Knole,"Tower & Showrooms (garden on Tuesdays, Apr-Sept)",Adult,Gift aid,£12.50,51.267601,0.20122
Knole,"Tower & Showrooms (garden on Tuesdays, Apr-Sept)",Adult,Standard,£11.30,51.267601,0.20122
Knole,"Tower & Showrooms (garden on Tuesdays, Apr-Sept)",Child,Gift aid,£6.75,51.267601,0.20122
Knole,"Tower & Showrooms (garden on Tuesdays, Apr-Sept)",Child,Standard,£6.10,51.267601,0.20122
Knole,"Tower & Showrooms (garden on Tuesdays, Apr-Sept)",Family,Gift aid,£29.75,51.267601,0.20122
Knole,"Tower & Showrooms (garden on Tuesdays, Apr-Sept)",Family,Standard,£26.85,51.267601,0.20122
Sunnycroft,Whole property,Adult,Gift aid,£8.20,52.6955,-2.5167
Sunnycroft,Whole property,Adult,Standard,£7.40,52.6955,-2.5167
Sunnycroft,Whole property,Child,Gift aid,£4.10,52.6955,-2.5167
Sunnycroft,Whole property,Child,Standard,£3.70,52.6955,-2.5167
Sunnycroft,Whole property,Family,Gift aid,£20.50,52.6955,-2.5167
Sunnycroft,Whole property,Family,Standard,£18.50,52.6955,-2.5167
Sunnycroft,Whole property,"1 adult, 3 children",Gift aid,£12.30,52.6955,-2.5167
Sunnycroft,Whole property,"1 adult, 3 children",Standard,£11.10,52.6955,-2.5167
Sunnycroft,Whole property,Group Adult,Gift aid,N/A,52.6955,-2.5167
Sunnycroft,Whole property,Group Adult,Standard,£7.00,52.6955,-2.5167
Sunnycroft,Grounds and tea-room only,Adult,Gift aid,£5.00,52.6955,-2.5167
Sunnycroft,Grounds and tea-room only,Adult,Standard,£4.50,52.6955,-2.5167
Sunnycroft,Grounds and tea-room only,Child,Gift aid,£2.50,52.6955,-2.5167
Sunnycroft,Grounds and tea-room only,Child,Standard,£2.25,52.6955,-2.5167
Sunnycroft,Grounds and tea-room only,Family,Gift aid,£12.50,52.6955,-2.5167
Sunnycroft,Grounds and tea-room only,Family,Standard,£11.25,52.6955,-2.5167
Sunnycroft,Grounds and tea-room only,"1 adult, 3 children",Gift aid,£7.50,52.6955,-2.5167
Sunnycroft,Grounds and tea-room only,"1 adult, 3 children",Standard,£6.25,52.6955,-2.5167
Sunnycroft,Grounds and tea-room only,Group Adult,Gift aid,N/A,52.6955,-2.5167
Sunnycroft,Grounds and tea-room only,Group Adult,Standard,£4.24,52.6955,-2.5167
Carrick-a-Rede,Whole property,Adult,Gift aid,N/A,55.236698,-6.3328
Carrick-a-Rede,Whole property,Adult,Standard,£8.00,55.236698,-6.3328
Carrick-a-Rede,Whole property,Child,Gift aid,N/A,55.236698,-6.3328
Carrick-a-Rede,Whole property,Child,Standard,£4.00,55.236698,-6.3328
Carrick-a-Rede,Whole property,Family,Gift aid,N/A,55.236698,-6.3328
Carrick-a-Rede,Whole property,Family,Standard,£20.00,55.236698,-6.3328
Carrick-a-Rede,Whole property,Group Adult,Gift aid,N/A,55.236698,-6.3328
Carrick-a-Rede,Whole property,Group Adult,Standard,£6.40,55.236698,-6.3328
Carrick-a-Rede,Whole property,Group Child,Gift aid,N/A,55.236698,-6.3328
Carrick-a-Rede,Whole property,Group Child,Standard,£3.40,55.236698,-6.3328
Orford Ness National Nature Reserve,Member,Adult,Gift aid,N/A,52.087399,1.54772
Orford Ness National Nature Reserve,Member,Adult,Standard,£4.00,52.087399,1.54772
Orford Ness National Nature Reserve,Member,Child,Gift aid,N/A,52.087399,1.54772
Orford Ness National Nature Reserve,Member,Child,Standard,£2.00,52.087399,1.54772
Orford Ness National Nature Reserve,Member,Family,Gift aid,N/A,52.087399,1.54772
Orford Ness National Nature Reserve,Member,Family,Standard,£10.00,52.087399,1.54772
Orford Ness National Nature Reserve,Non-Member,Adult,Gift aid,N/A,52.087399,1.54772
Orford Ness National Nature Reserve,Non-Member,Adult,Standard,£10.00,52.087399,1.54772
Orford Ness National Nature Reserve,Non-Member,Child,Gift aid,N/A,52.087399,1.54772
Orford Ness National Nature Reserve,Non-Member,Child,Standard,£5.00,52.087399,1.54772
Orford Ness National Nature Reserve,Non-Member,Family,Gift aid,N/A,52.087399,1.54772
Orford Ness National Nature Reserve,Non-Member,Family,Standard,£25.00,52.087399,1.54772
Stowe,Joint NT Stowe and House,Adult,Gift aid,N/A,52.022154,-1.00785
Stowe,Joint NT Stowe and House,Adult,Standard,£18.50,52.022154,-1.00785
Stowe,National Trust Stowe,Adult,Gift aid,£13.20,52.022154,-1.00785
Stowe,National Trust Stowe,Adult,Standard,£12.00,52.022154,-1.00785
Stowe,National Trust Stowe,Child,Gift aid,£6.60,52.022154,-1.00785
Stowe,National Trust Stowe,Child,Standard,£6.00,52.022154,-1.00785
Stowe,National Trust Stowe,Family,Gift aid,£33.00,52.022154,-1.00785
Stowe,National Trust Stowe,Family,Standard,£30.00,52.022154,-1.00785
Stowe,National Trust Stowe,Group Adult,Gift aid,N/A,52.022154,-1.00785
Stowe,National Trust Stowe,Group Adult,Standard,£11.20,52.022154,-1.00785
